tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
345,0.345,C,submit,x43,x43.altitude,0,RequestService,x43.altitude#1,,UNBOUND
346,0.346,B,notify,x43,x43.altitude,1,RequestService,x43.altitude#1,,SERVICE,
346,0.346,B,service,x43,x43.altitude,1,RequestService,x43.altitude#1,,SERVICE,,0,_valueCurrent=,2500.0,valueTarget=,1000.0,_speedCurrent=,2.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
346,0.346,D,respond,x43,x43.altitude,1,RequestService,x43.altitude#1,,,ACCEPTED_SERVICING
347,0.347,B,notify,x43,x43.altitude,2,RequestService,x43.altitude#1,,SERVICE,
347,0.347,B,service,x43,x43.altitude,2,RequestService,x43.altitude#1,,SERVICE,,1,_valueCurrent=,2498.0,valueTarget=,1000.0,_speedCurrent=,4.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
348,0.348,B,notify,x43,x43.altitude,3,RequestService,x43.altitude#1,,SERVICE,
348,0.348,B,service,x43,x43.altitude,3,RequestService,x43.altitude#1,,SERVICE,,2,_valueCurrent=,2494.0,valueTarget=,1000.0,_speedCurrent=,6.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
349,0.349,B,notify,x43,x43.altitude,4,RequestService,x43.altitude#1,,SERVICE,
349,0.349,B,service,x43,x43.altitude,4,RequestService,x43.altitude#1,,SERVICE,,3,_valueCurrent=,2488.0,valueTarget=,1000.0,_speedCurrent=,8.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
350,0.350,B,notify,x43,x43.altitude,5,RequestService,x43.altitude#1,,SERVICE,
350,0.350,B,service,x43,x43.altitude,5,RequestService,x43.altitude#1,,SERVICE,,4,_valueCurrent=,2480.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
351,0.351,B,notify,x43,x43.altitude,6,RequestService,x43.altitude#1,,SERVICE,
351,0.351,B,service,x43,x43.altitude,6,RequestService,x43.altitude#1,,SERVICE,,5,_valueCurrent=,2470.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
352,0.352,B,notify,x43,x43.altitude,7,RequestService,x43.altitude#1,,SERVICE,
352,0.352,B,service,x43,x43.altitude,7,RequestService,x43.altitude#1,,SERVICE,,6,_valueCurrent=,2460.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
353,0.353,B,notify,x43,x43.altitude,8,RequestService,x43.altitude#1,,SERVICE,
353,0.353,B,service,x43,x43.altitude,8,RequestService,x43.altitude#1,,SERVICE,,7,_valueCurrent=,2450.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
354,0.354,B,notify,x43,x43.altitude,9,RequestService,x43.altitude#1,,SERVICE,
354,0.354,B,service,x43,x43.altitude,9,RequestService,x43.altitude#1,,SERVICE,,8,_valueCurrent=,2440.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
355,0.355,B,notify,x43,x43.altitude,10,RequestService,x43.altitude#1,,SERVICE,
355,0.355,B,service,x43,x43.altitude,10,RequestService,x43.altitude#1,,SERVICE,,9,_valueCurrent=,2430.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
356,0.356,B,notify,x43,x43.altitude,11,RequestService,x43.altitude#1,,SERVICE,
356,0.356,B,service,x43,x43.altitude,11,RequestService,x43.altitude#1,,SERVICE,,10,_valueCurrent=,2420.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
357,0.357,B,notify,x43,x43.altitude,12,RequestService,x43.altitude#1,,SERVICE,
357,0.357,B,service,x43,x43.altitude,12,RequestService,x43.altitude#1,,SERVICE,,11,_valueCurrent=,2410.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
358,0.358,B,notify,x43,x43.altitude,13,RequestService,x43.altitude#1,,SERVICE,
358,0.358,B,service,x43,x43.altitude,13,RequestService,x43.altitude#1,,SERVICE,,12,_valueCurrent=,2400.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
359,0.359,B,notify,x43,x43.altitude,14,RequestService,x43.altitude#1,,SERVICE,
359,0.359,B,service,x43,x43.altitude,14,RequestService,x43.altitude#1,,SERVICE,,13,_valueCurrent=,2390.0,valueTarget=,1000.0,_speedCurrent=,10.0,speedChange=NONE,_isTerminating=false,isArrived=false
360,0.360,B,notify,x43,x43.altitude,15,RequestService,x43.altitude#1,,SERVICE,
